City,Country,State,Latitude ,Longitude 
Yuma,United States,Arizona,32.7253,-114.6244
Yucaipa,United States,California,34.0336,-117.0431
York,United States,Pennsylvania,39.9624,-76.7274
Yonkers,United States,New York,40.9312,-73.8987
Woonsocket,United States,Rhode Island,42.0029,-71.5148
Woodstock,United States,Illinois,42.315,-88.4475
Woodstock,United States,Georgia,34.1015,-84.5194
Woodland,United States,California,38.6786,-121.7733
Woodbury,United States,Minnesota,44.9232,-92.9588
Wilson,United States,North Carolina,35.7213,-77.9155
Wilmington,United States,North Carolina,34.2257,-77.9447
Wilmington,United States,Delaware,39.7459,-75.5466
Wichita,United States,Kansas,37.6922,-97.3375
Whittier,United States,California,33.9749,-118.0337
Wheeling,United States,West Virginia,40.064,-80.7209
Wheeling,United States,Illinois,42.1392,-87.929
Westminster,United States,California,33.7578,-117.9859
Westland,United States,Michigan,42.3238,-83.4005
Westfield,United States,New Jersey,40.659,-74.3474
West Palm Beach,United States,Florida,26.7153,-80.0534
West Jordan,United States,Utah,40.6097,-111.9391
West Allis,United States,Wisconsin,43.0167,-88.007
Waynesboro,United States,Virginia,38.0677,-78.8902
Wausau,United States,Wisconsin,44.9596,-89.6298
Waukesha,United States,Wisconsin,43.0117,-88.2315
Watertown,United States,New York,43.9748,-75.9108
Waterloo,United States,Iowa,42.4983,-92.3369
Waterbury,United States,Connecticut,41.5582,-73.0515
Washington,United States,District of Columbia,38.895,-77.0366
Warwick,United States,Rhode Island,41.7002,-71.4161
Warner Robins,United States,Georgia,32.621,-83.5999
Waco,United States,Texas,31.5493,-97.1467
Visalia,United States,California,36.3302,-119.2921
Virginia Beach,United States,Virginia,36.853,-75.9774
Vineland,United States,New Jersey,39.4862,-75.0257
Vancouver,United States,Washington,45.6307,-122.6745
Vallejo,United States,California,38.1041,-122.2566
Vacaville,United States,California,38.3566,-121.9877
Utica,United States,New York,43.1009,-75.2327
Urbandale,United States,Iowa,41.6275,-93.7381
Tyler,United States,Texas,32.3513,-95.3011
Twin Falls,United States,Idaho,42.2729,-114.6972
Tuscaloosa,United States,Alabama,33.2096,-87.5675
Tulsa,United States,Oklahoma,36.1012,-95.9251
Tucson,United States,Arizona,32.2217,-110.9265
Troy,United States,Ohio,40.0395,-84.2033
Troy,United States,New York,42.7284,-73.6918
Trenton,United States,Michigan,42.1407,-83.1801
Torrance,United States,California,33.8358,-118.3406
Toledo,United States,Ohio,41.6787,-83.5127
Tinley Park,United States,Illinois,41.5734,-87.7845
Tigard,United States,Oregon,45.4307,-122.7719
Thousand Oaks,United States,California,34.1706,-118.8376
Thornton,United States,Colorado,39.93,-104.93
Thomasville,United States,North Carolina,35.8832,-80.0818
The Colony,United States,Texas,33.089,-96.8864
Texas City,United States,Texas,29.3838,-94.9027
Texarkana,United States,Arkansas,33.4418,-94.0377
Tempe,United States,Arizona,33.4144,-111.9094
Temecula,United States,California,33.4946,-117.1474
Taylor,United States,Michigan,42.2409,-83.2697
Tampa,United States,Florida,27.9478,-82.4584
Tamarac,United States,Florida,26.2129,-80.2498
Tallahassee,United States,Florida,30.4381,-84.2809
Superior,United States,Wisconsin,46.7208,-92.1041
Sunnyvale,United States,California,37.3688,-122.0363
Summerville,United States,South Carolina,33.0185,-80.1756
